Gene_ID	Control_1	Control_2	Control_3	Control_4	PDX_1	PDX_2	PDX_3	PDX_4
ENSMUSG00000001440	16.294956	17.515825	17.985607	17.303932	15.319399	15.371138	16.923203	16.165403
ENSMUSG00000001441	20.481045	23.029192	21.481548	20.749483	19.311243	21.550341	20.340631	17.971746
ENSMUSG00000001444	0.130344	0.322841	0.192039	0.355387	0.161050	0.268356	0.000000	0.170261
ENSMUSG00000001445	10.502843	11.820888	11.991754	11.574269	10.132083	13.156227	12.209229	11.365115
ENSMUSG00000001467	0.805212	1.537804	1.520058	1.628217	0.708429	0.990104	1.016454	1.098389
ENSMUSG00000001472	30.352129	33.889454	32.066284	33.320889	35.548710	31.509682	36.033035	30.995058
ENSMUSG00000001473	7.271617	8.696351	9.291095	7.700994	4.628273	6.637768	5.493784	4.756143
ENSMUSG00000001482	10.137624	11.154243	11.032083	11.890252	10.946316	11.796364	10.456398	10.177679
ENSMUSG00000001493	1.340032	1.104636	0.704120	1.066289	0.411280	0.402244	0.515558	0.604605
ENSMUSG00000001494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001496	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0
ENSMUSG00000001497	0.114558	0.047860	0.047078	0.000000	0.019354	0.000000	0.021799	0.019951
ENSMUSG00000001504	0.170801	0.058974	0.045330	0.000000	0.105428	0.129297	0.000000	0.000000
ENSMUSG00000001506	114.278412	51.013165	49.414371	77.309105	15.382957	12.626963	15.983810	4.538428
ENSMUSG00000001507	1.419543	1.557576	1.573388	1.437443	1.837543	1.362430	1.497292	1.351343
ENSMUSG00000001508	45.495087	53.096519	60.265438	54.070080	51.868767	53.990952	57.985764	58.051411
ENSMUSG00000001510	0.466705	0.0	0.0	0.032143	0.0	0.0	0.0	0.0
